================================================================================
Summary of training process:
Dataset                : UCI_HAR
Batch size             : 32
Learing rate           : 0.001
Number of total clients: 150
Split method           : distribution
Split parameter        : 0.1
Clients per round      : 15
Number of global rounds: 100
Number of local rounds : 5
Feature from layer     : 1
Feature percentage     : 0.1
Is interplolated       : False
Local training loss    : MCE_DeC_KL
Loss of beta           : 1.0
Algorithm              : FLea
Modelname              : HARNet
Mode                   : training
Seed                   : 0
================================================================================
Dataset: UCI_HAR
training: 7352 testing: 2947
Here
Pre-splits: [   0    1    2 ... 3673 3674 3675]
[   0    1    2 ... 3673 3674 3675]
[4 4 4 ... 3 3 3]
Pre-splits: [3676 3677 3678 ... 7349 7350 7351]
[3676 3677 3678 ... 7349 7350 7351]
[3 3 3 ... 1 1 1]
Done
Class frequencies:
client,class0,class1,class2,class3,class4,class5,Amount
The last decorrelation: tensor(0.9612)
Local adapation with distilling: 0.0003160000000000001 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.5866) local CE: tensor(0.3676) Feature CE: tensor(1.1178) KL: tensor(0.1528)
The last decorrelation: tensor(0.9481)
Local adapation with distilling: 0.0003160000000000001 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(3.2014) local CE: tensor(0.7897) Feature CE: tensor(1.3433) KL: tensor(0.1591)
The last decorrelation: tensor(0.9093)
Local adapation with distilling: 0.0003160000000000001 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.8676) local CE: tensor(0.4701) Feature CE: tensor(1.3303) KL: tensor(0.1781)
The last decorrelation: tensor(0.8851)
Local adapation with distilling: 0.0003160000000000001 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.2986) local CE: tensor(0.1953) Feature CE: tensor(1.1072) KL: tensor(0.1190)
The last decorrelation: tensor(0.8758)
Local adapation with distilling: 0.0003160000000000001 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.9343) local CE: tensor(0.4043) Feature CE: tensor(1.3024) KL: tensor(0.3254)
The last decorrelation: tensor(0.9006)
Local adapation with distilling: 0.0003160000000000001 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.2199) local CE: tensor(0.2031) Feature CE: tensor(1.0447) KL: tensor(0.1352)
The last decorrelation: tensor(0.8367)
Local adapation with distilling: 0.0003160000000000001 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.6027) local CE: tensor(0.3036) Feature CE: tensor(1.2159) KL: tensor(0.1124)
The last decorrelation: tensor(0.9776)
Local adapation with distilling: 0.0003160000000000001 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.7242) local CE: tensor(0.4041) Feature CE: tensor(1.2325) KL: tensor(0.1637)
The last decorrelation: tensor(0.9238)
Local adapation with distilling: 0.0003160000000000001 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(3.0441) local CE: tensor(0.6437) Feature CE: tensor(1.2557) KL: tensor(0.2125)
The last decorrelation: tensor(0.9325)
Local adapation with distilling: 0.0003160000000000001 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.8430) local CE: tensor(0.4623) Feature CE: tensor(1.3796) KL: tensor(0.0904)
The last decorrelation: tensor(0.9148)
Local adapation with distilling: 0.0003160000000000001 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(3.1453) local CE: tensor(0.6813) Feature CE: tensor(1.3453) KL: tensor(0.2056)
The last decorrelation: tensor(0.9130)
Global Model Acc on global data: 0.5585341024770953 length of data: 2947
size of the global feature buffer: 15
-------------Round number:  39  -------------
selected users: [6, 34, 148, 82, 38, 26, 128, 29, 143, 131, 55, 21, 139, 57, 58]
Current data/feature buff: torch.Size([68, 128, 20, 7]) torch.Size([68]) 68
Buffer classes: Counter({2: 21, 1: 15, 5: 14, 3: 13, 4: 3, 0: 2})
Local adapation with distilling: 0.00029800000000000003 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.7510) local CE: tensor(0.3296) Feature CE: tensor(1.2874) KL: tensor(0.2043)
The last decorrelation: tensor(0.9294)
Local adapation with distilling: 0.00029800000000000003 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(3.4748) local CE: tensor(0.5002) Feature CE: tensor(1.4209) KL: tensor(0.5570)
The last decorrelation: tensor(0.9962)
Local adapation with distilling: 0.00029800000000000003 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.8736) local CE: tensor(0.4811) Feature CE: tensor(1.3326) KL: tensor(0.1579)
The last decorrelation: tensor(0.9236)
Local adapation with distilling: 0.00029800000000000003 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(3.1127) local CE: tensor(0.7775) Feature CE: tensor(1.2737) KL: tensor(0.1337)
The last decorrelation: tensor(0.9285)
Local adapation with distilling: 0.00029800000000000003 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.4987) local CE: tensor(0.2762) Feature CE: tensor(1.2560) KL: tensor(0.1063)
The last decorrelation: tensor(0.8490)
Local adapation with distilling: 0.00029800000000000003 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.2891) local CE: tensor(0.3255) Feature CE: tensor(1.0644) KL: tensor(0.0917)
The last decorrelation: tensor(0.8042)
Local adapation with distilling: 0.00029800000000000003 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.6995) local CE: tensor(0.3602) Feature CE: tensor(1.2874) KL: tensor(0.1563)
The last decorrelation: tensor(0.8979)
Local adapation with distilling: 0.00029800000000000003 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.4887) local CE: tensor(0.2197) Feature CE: tensor(1.2359) KL: tensor(0.1315)
The last decorrelation: tensor(0.9010)
Local adapation with distilling: 0.00029800000000000003 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.6036) local CE: tensor(0.3677) Feature CE: tensor(1.1450) KL: tensor(0.2127)
The last decorrelation: tensor(0.8768)
Local adapation with distilling: 0.00029800000000000003 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.6246) local CE: tensor(0.4131) Feature CE: tensor(1.1304) KL: tensor(0.1328)
The last decorrelation: tensor(0.9485)
Local adapation with distilling: 0.00029800000000000003 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(3.0640) local CE: tensor(0.6740) Feature CE: tensor(1.2885) KL: tensor(0.1700)
The last decorrelation: tensor(0.9406)
Local adapation with distilling: 0.00029800000000000003 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(3.4379) local CE: tensor(0.9038) Feature CE: tensor(1.3683) KL: tensor(0.1831)
The last decorrelation: tensor(0.9827)
Local adapation with distilling: 0.00029800000000000003 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.8053) local CE: tensor(0.5031) Feature CE: tensor(1.2209) KL: tensor(0.1266)
The last decorrelation: tensor(0.9544)
Local adapation with distilling: 0.00029800000000000003 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.5673) local CE: tensor(0.2498) Feature CE: tensor(1.3058) KL: tensor(0.1172)
The last decorrelation: tensor(0.8901)
Local adapation with distilling: 0.00029800000000000003 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(3.1644) local CE: tensor(0.7279) Feature CE: tensor(1.4197) KL: tensor(0.1081)
The last decorrelation: tensor(0.9090)
Global Model Acc on global data: 0.5673566338649474 length of data: 2947
save a model
size of the global feature buffer: 15
-------------Round number:  40  -------------
selected users: [38, 66, 115, 117, 89, 136, 68, 94, 84, 28, 90, 11, 40, 126, 79]
Current data/feature buff: torch.Size([57, 128, 20, 7]) torch.Size([57]) 57
Buffer classes: Counter({1: 18, 4: 15, 0: 11, 5: 8, 2: 3, 3: 2})
Local adapation with distilling: 0.00028000000000000003 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.4509) local CE: tensor(0.3357) Feature CE: tensor(1.1144) KL: tensor(0.1462)
The last decorrelation: tensor(0.8562)
Local adapation with distilling: 0.00028000000000000003 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.6545) local CE: tensor(0.4544) Feature CE: tensor(1.2427) KL: tensor(0.1094)
The last decorrelation: tensor(0.8497)
Local adapation with distilling: 0.00028000000000000003 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.1945) local CE: tensor(0.1209) Feature CE: tensor(1.0316) KL: tensor(0.0975)
The last decorrelation: tensor(0.9370)
Local adapation with distilling: 0.00028000000000000003 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(3.0874) local CE: tensor(0.7755) Feature CE: tensor(1.2626) KL: tensor(0.1100)
The last decorrelation: tensor(0.9467)
Local adapation with distilling: 0.00028000000000000003 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(3.2682) local CE: tensor(0.8842) Feature CE: tensor(1.3530) KL: tensor(0.0961)
The last decorrelation: tensor(0.9349)
Local adapation with distilling: 0.00028000000000000003 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(3.1648) local CE: tensor(0.7785) Feature CE: tensor(1.2409) KL: tensor(0.2015)
The last decorrelation: tensor(0.9477)
Local adapation with distilling: 0.00028000000000000003 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.4584) local CE: tensor(0.2372) Feature CE: tensor(1.1503) KL: tensor(0.0720)
The last decorrelation: tensor(0.9990)
Local adapation with distilling: 0.00028000000000000003 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(3.1358) local CE: tensor(0.5845) Feature CE: tensor(1.4393) KL: tensor(0.1827)
The last decorrelation: tensor(0.9295)
Local adapation with distilling: 0.00028000000000000003 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.5282) local CE: tensor(0.4795) Feature CE: tensor(1.0869) KL: tensor(0.0738)
The last decorrelation: tensor(0.8895)
Local adapation with distilling: 0.00028000000000000003 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(3.2784) local CE: tensor(0.8292) Feature CE: tensor(1.3465) KL: tensor(0.1360)
The last decorrelation: tensor(0.9852)
Local adapation with distilling: 0.00028000000000000003 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(3.1085) local CE: tensor(0.4566) Feature CE: tensor(1.3847) KL: tensor(0.3117)
The last decorrelation: tensor(0.9529)
Local adapation with distilling: 0.00028000000000000003 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(3.4729) local CE: tensor(0.9926) Feature CE: tensor(1.4039) KL: tensor(0.1347)
The last decorrelation: tensor(0.9417)
Local adapation with distilling: 0.00028000000000000003 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.6322) local CE: tensor(0.3607) Feature CE: tensor(1.1691) KL: tensor(0.1826)
The last decorrelation: tensor(0.9198)
Local adapation with distilling: 0.00028000000000000003 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.9103) local CE: tensor(0.4284) Feature CE: tensor(1.2674) KL: tensor(0.2601)
The last decorrelation: tensor(0.9546)
Local adapation with distilling: 0.00028000000000000003 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.6776) local CE: tensor(0.4912) Feature CE: tensor(1.2409) KL: tensor(0.1024)
The last decorrelation: tensor(0.8444)
Global Model Acc on global data: 0.5666779776043434 length of data: 2947
size of the global feature buffer: 15
-------------Round number:  41  -------------
selected users: [119, 128, 135, 91, 112, 71, 123, 85, 147, 143, 127, 39, 38, 93, 23]
Current data/feature buff: torch.Size([57, 128, 20, 7]) torch.Size([57]) 57
Buffer classes: Counter({4: 25, 0: 10, 3: 10, 2: 6, 5: 5, 1: 1})
Local adapation with distilling: 0.000262 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(1.9269) local CE: tensor(0.0905) Feature CE: tensor(0.8180) KL: tensor(0.0647)
The last decorrelation: tensor(0.9558)
Local adapation with distilling: 0.000262 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.6340) local CE: tensor(0.2630) Feature CE: tensor(1.4230) KL: tensor(0.0559)
The last decorrelation: tensor(0.8945)
Local adapation with distilling: 0.000262 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.9634) local CE: tensor(0.4907) Feature CE: tensor(1.4028) KL: tensor(0.1506)
The last decorrelation: tensor(0.9193)
Local adapation with distilling: 0.000262 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(3.1628) local CE: tensor(0.8067) Feature CE: tensor(1.2514) KL: tensor(0.1524)
The last decorrelation: tensor(0.9524)
Local adapation with distilling: 0.000262 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.5312) local CE: tensor(0.3215) Feature CE: tensor(1.1794) KL: tensor(0.1012)
The last decorrelation: tensor(0.9290)
Local adapation with distilling: 0.000262 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.5498) local CE: tensor(0.2864) Feature CE: tensor(1.2778) KL: tensor(0.0679)
The last decorrelation: tensor(0.9177)
Local adapation with distilling: 0.000262 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.3554) local CE: tensor(0.3684) Feature CE: tensor(1.0473) KL: tensor(0.0804)
The last decorrelation: tensor(0.8591)
Local adapation with distilling: 0.000262 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.9657) local CE: tensor(0.5849) Feature CE: tensor(1.2888) KL: tensor(0.1436)
The last decorrelation: tensor(0.9485)
Local adapation with distilling: 0.000262 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.7296) local CE: tensor(0.3468) Feature CE: tensor(1.3792) KL: tensor(0.0443)
The last decorrelation: tensor(0.9595)
Local adapation with distilling: 0.000262 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.7423) local CE: tensor(0.3433) Feature CE: tensor(1.3841) KL: tensor(0.1443)
The last decorrelation: tensor(0.8737)
Local adapation with distilling: 0.000262 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(3.1764) local CE: tensor(0.8616) Feature CE: tensor(1.2369) KL: tensor(0.1173)
The last decorrelation: tensor(0.9322)
Local adapation with distilling: 0.000262 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.4073) local CE: tensor(0.1561) Feature CE: tensor(1.2094) KL: tensor(0.0793)
The last decorrelation: tensor(0.9627)
Local adapation with distilling: 0.000262 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.3080) local CE: tensor(0.2478) Feature CE: tensor(1.1551) KL: tensor(0.0509)
The last decorrelation: tensor(0.8545)
Local adapation with distilling: 0.000262 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.3278) local CE: tensor(0.1856) Feature CE: tensor(1.0474) KL: tensor(0.0968)
The last decorrelation: tensor(0.9980)
Local adapation with distilling: 0.000262 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(3.3564) local CE: tensor(0.7762) Feature CE: tensor(1.3206) KL: tensor(0.2606)
The last decorrelation: tensor(0.9991)
Global Model Acc on global data: 0.4655581947743468 length of data: 2947
size of the global feature buffer: 15
-------------Round number:  42  -------------
selected users: [73, 18, 118, 78, 76, 31, 64, 141, 68, 82, 110, 12, 36, 9, 19]
Current data/feature buff: torch.Size([70, 128, 20, 7]) torch.Size([70]) 70
Buffer classes: Counter({4: 33, 1: 16, 0: 9, 5: 5, 3: 5, 2: 2})
Local adapation with distilling: 0.0002440000000000001 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.6084) local CE: tensor(0.3841) Feature CE: tensor(1.3363) KL: tensor(0.0396)
The last decorrelation: tensor(0.8494)
Local adapation with distilling: 0.0002440000000000001 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(1.9880) local CE: tensor(0.0669) Feature CE: tensor(0.8787) KL: tensor(0.0978)
The last decorrelation: tensor(0.9444)
Local adapation with distilling: 0.0002440000000000001 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.5758) local CE: tensor(0.3985) Feature CE: tensor(1.1278) KL: tensor(0.1013)
The last decorrelation: tensor(0.9395)
Local adapation with distilling: 0.0002440000000000001 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(3.6078) local CE: tensor(0.9765) Feature CE: tensor(1.4668) KL: tensor(0.1648)
The last decorrelation: tensor(0.9997)
Local adapation with distilling: 0.0002440000000000001 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.2979) local CE: tensor(0.1425) Feature CE: tensor(1.0847) KL: tensor(0.1091)
The last decorrelation: tensor(0.9667)
Local adapation with distilling: 0.0002440000000000001 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.1344) local CE: tensor(0.1321) Feature CE: tensor(1.0714) KL: tensor(0.0469)
The last decorrelation: tensor(0.8843)
Local adapation with distilling: 0.0002440000000000001 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.4116) local CE: tensor(0.3178) Feature CE: tensor(1.1442) KL: tensor(0.0979)
The last decorrelation: tensor(0.8465)
Local adapation with distilling: 0.0002440000000000001 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(3.2767) local CE: tensor(0.7283) Feature CE: tensor(1.5832) KL: tensor(0.0653)
The last decorrelation: tensor(0.9002)
Local adapation with distilling: 0.0002440000000000001 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.8466) local CE: tensor(0.5196) Feature CE: tensor(1.2290) KL: tensor(0.0990)
The last decorrelation: tensor(0.9989)
Local adapation with distilling: 0.0002440000000000001 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(3.1835) local CE: tensor(0.8347) Feature CE: tensor(1.3789) KL: tensor(0.0426)
The last decorrelation: tensor(0.9279)
Local adapation with distilling: 0.0002440000000000001 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(3.1220) local CE: tensor(0.6706) Feature CE: tensor(1.2926) KL: tensor(0.2414)
The last decorrelation: tensor(0.9259)
Local adapation with distilling: 0.0002440000000000001 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.3923) local CE: tensor(0.2506) Feature CE: tensor(1.1912) KL: tensor(0.0738)
The last decorrelation: tensor(0.8706)
Local adapation with distilling: 0.0002440000000000001 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(3.1101) local CE: tensor(0.6723) Feature CE: tensor(1.4425) KL: tensor(0.0938)
The last decorrelation: tensor(0.8882)
Local adapation with distilling: 0.0002440000000000001 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(3.2888) local CE: tensor(0.8429) Feature CE: tensor(1.3207) KL: tensor(0.2342)
The last decorrelation: tensor(0.8904)
Local adapation with distilling: 0.0002440000000000001 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.3783) local CE: tensor(0.2489) Feature CE: tensor(1.0775) KL: tensor(0.0959)
The last decorrelation: tensor(0.9615)
Global Model Acc on global data: 0.5283338988802172 length of data: 2947
size of the global feature buffer: 15
-------------Round number:  43  -------------
selected users: [30, 0, 138, 67, 105, 39, 113, 71, 81, 57, 38, 76, 122, 11, 78]
Current data/feature buff: torch.Size([107, 128, 20, 7]) torch.Size([107]) 107
Buffer classes: Counter({5: 29, 3: 28, 1: 16, 0: 13, 4: 11, 2: 10})
Local adapation with distilling: 0.0002260000000000001 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.7859) local CE: tensor(0.3338) Feature CE: tensor(1.4512) KL: tensor(0.1247)
The last decorrelation: tensor(0.8663)
Local adapation with distilling: 0.0002260000000000001 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(3.1280) local CE: tensor(0.6924) Feature CE: tensor(1.3286) KL: tensor(0.1280)
The last decorrelation: tensor(0.9790)
Local adapation with distilling: 0.0002260000000000001 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.8197) local CE: tensor(0.5846) Feature CE: tensor(1.1676) KL: tensor(0.0874)
The last decorrelation: tensor(0.9802)
Local adapation with distilling: 0.0002260000000000001 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.5120) local CE: tensor(0.1902) Feature CE: tensor(1.3669) KL: tensor(0.0869)
The last decorrelation: tensor(0.8682)
Local adapation with distilling: 0.0002260000000000001 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(3.4142) local CE: tensor(0.5753) Feature CE: tensor(1.5915) KL: tensor(0.2635)
The last decorrelation: tensor(0.9841)
Local adapation with distilling: 0.0002260000000000001 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.7265) local CE: tensor(0.1763) Feature CE: tensor(1.4117) KL: tensor(0.1760)
The last decorrelation: tensor(0.9628)
Local adapation with distilling: 0.0002260000000000001 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.7585) local CE: tensor(0.4011) Feature CE: tensor(1.2191) KL: tensor(0.1720)
The last decorrelation: tensor(0.9693)
Local adapation with distilling: 0.0002260000000000001 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.6206) local CE: tensor(0.2017) Feature CE: tensor(1.3598) KL: tensor(0.1394)
The last decorrelation: tensor(0.9189)
Local adapation with distilling: 0.0002260000000000001 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.8443) local CE: tensor(0.4818) Feature CE: tensor(1.4142) KL: tensor(0.0851)
The last decorrelation: tensor(0.8595)
Local adapation with distilling: 0.0002260000000000001 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.5590) local CE: tensor(0.2649) Feature CE: tensor(1.3144) KL: tensor(0.0866)
The last decorrelation: tensor(0.8865)
Local adapation with distilling: 0.0002260000000000001 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.6001) local CE: tensor(0.3241) Feature CE: tensor(1.3088) KL: tensor(0.1108)
The last decorrelation: tensor(0.8575)
Local adapation with distilling: 0.0002260000000000001 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.1507) local CE: tensor(0.0806) Feature CE: tensor(1.0254) KL: tensor(0.0888)
The last decorrelation: tensor(0.9450)
Local adapation with distilling: 0.0002260000000000001 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(3.1885) local CE: tensor(0.4690) Feature CE: tensor(1.5917) KL: tensor(0.2296)
The last decorrelation: tensor(0.8878)
Local adapation with distilling: 0.0002260000000000001 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(3.3688) local CE: tensor(0.9018) Feature CE: tensor(1.4088) KL: tensor(0.1158)
The last decorrelation: tensor(0.9423)
Local adapation with distilling: 0.0002260000000000001 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.7883) local CE: tensor(0.4994) Feature CE: tensor(1.1769) KL: tensor(0.1123)
The last decorrelation: tensor(0.9996)
Global Model Acc on global data: 0.5419070240922973 length of data: 2947
size of the global feature buffer: 15
-------------Round number:  44  -------------
selected users: [144, 9, 79, 95, 104, 47, 118, 107, 102, 90, 17, 52, 46, 101, 28]
Current data/feature buff: torch.Size([67, 128, 20, 7]) torch.Size([67]) 67
Buffer classes: Counter({5: 31, 0: 14, 3: 11, 1: 9, 4: 2})
Local adapation with distilling: 0.00020800000000000007 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(4.0895) local CE: tensor(1.4902) Feature CE: tensor(1.5224) KL: tensor(0.0960)
The last decorrelation: tensor(0.9810)
Local adapation with distilling: 0.00020800000000000007 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.7864) local CE: tensor(0.5525) Feature CE: tensor(1.0081) KL: tensor(0.3328)
The last decorrelation: tensor(0.8934)
Local adapation with distilling: 0.00020800000000000007 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.9386) local CE: tensor(0.6245) Feature CE: tensor(1.2942) KL: tensor(0.1755)
The last decorrelation: tensor(0.8458)
Local adapation with distilling: 0.00020800000000000007 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(3.8082) local CE: tensor(1.0217) Feature CE: tensor(1.7850) KL: tensor(0.1308)
The last decorrelation: tensor(0.8706)
Local adapation with distilling: 0.00020800000000000007 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(3.2110) local CE: tensor(0.7749) Feature CE: tensor(1.2769) KL: tensor(0.1593)
The last decorrelation: tensor(1.0000)
Local adapation with distilling: 0.00020800000000000007 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.0413) local CE: tensor(0.2095) Feature CE: tensor(0.7420) KL: tensor(0.1059)
The last decorrelation: tensor(0.9856)
Local adapation with distilling: 0.00020800000000000007 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.6770) local CE: tensor(0.4432) Feature CE: tensor(1.0883) KL: tensor(0.2000)
The last decorrelation: tensor(0.9704)
Local adapation with distilling: 0.00020800000000000007 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(1.8561) local CE: tensor(0.1746) Feature CE: tensor(0.7071) KL: tensor(0.1037)
The last decorrelation: tensor(0.8701)
Local adapation with distilling: 0.00020800000000000007 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.4147) local CE: tensor(0.2655) Feature CE: tensor(1.0461) KL: tensor(0.1438)
The last decorrelation: tensor(0.9509)
Local adapation with distilling: 0.00020800000000000007 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.9216) local CE: tensor(0.4361) Feature CE: tensor(1.1773) KL: tensor(0.3530)
The last decorrelation: tensor(0.9536)
Local adapation with distilling: 0.00020800000000000007 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.9254) local CE: tensor(0.8506) Feature CE: tensor(1.0108) KL: tensor(0.1035)
The last decorrelation: tensor(0.9599)
Local adapation with distilling: 0.00020800000000000007 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.1387) local CE: tensor(0.1320) Feature CE: tensor(1.0496) KL: tensor(0.0842)
The last decorrelation: tensor(0.8725)
Local adapation with distilling: 0.00020800000000000007 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(3.2242) local CE: tensor(0.8658) Feature CE: tensor(1.2988) KL: tensor(0.1514)
The last decorrelation: tensor(0.9082)
Local adapation with distilling: 0.00020800000000000007 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.9557) local CE: tensor(0.6364) Feature CE: tensor(1.3368) KL: tensor(0.1026)
The last decorrelation: tensor(0.8792)
Local adapation with distilling: 0.00020800000000000007 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(3.0679) local CE: tensor(0.8592) Feature CE: tensor(1.1402) KL: tensor(0.1131)
The last decorrelation: tensor(0.9452)
Global Model Acc on global data: 0.5571767899558874 length of data: 2947
size of the global feature buffer: 15
-------------Round number:  45  -------------
selected users: [0, 43, 129, 3, 34, 44, 38, 105, 123, 140, 28, 125, 113, 103, 133]
Current data/feature buff: torch.Size([67, 128, 20, 7]) torch.Size([67]) 67
Buffer classes: Counter({3: 31, 1: 13, 0: 9, 2: 6, 5: 6, 4: 2})
Local adapation with distilling: 0.00019000000000000006 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.4781) local CE: tensor(0.4974) Feature CE: tensor(0.9311) KL: tensor(0.0706)
The last decorrelation: tensor(0.9789)
Local adapation with distilling: 0.00019000000000000006 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.7781) local CE: tensor(0.5459) Feature CE: tensor(1.2109) KL: tensor(0.1223)
The last decorrelation: tensor(0.8991)
Local adapation with distilling: 0.00019000000000000006 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.7538) local CE: tensor(0.3834) Feature CE: tensor(1.3048) KL: tensor(0.1786)
The last decorrelation: tensor(0.8863)
Local adapation with distilling: 0.00019000000000000006 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.5064) local CE: tensor(0.3115) Feature CE: tensor(0.9603) KL: tensor(0.2516)
The last decorrelation: tensor(0.9829)
Local adapation with distilling: 0.00019000000000000006 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.6212) local CE: tensor(0.4399) Feature CE: tensor(1.0238) KL: tensor(0.1605)
The last decorrelation: tensor(0.9970)
Local adapation with distilling: 0.00019000000000000006 alphas: 1 1 1 1
MCE_DeC_KL Total: tensor(2.6254) local CE: tensor(0.3410) Feature CE: tensor(1.2197) KL: tensor(0.0780)
